message,label
Your payment of Rs 500 was successful.,legitimate
Your appointment has been confirmed for 4 PM.,legitimate
Urgent! Your account has suspicious activity. Send ₹5000 to secure your account.,scam
Your interview feedback will be shared through email.,legitimate
Your insurance refund is ready. Pay Rs 300 as a processing charge.,scam
Your UPI payment is stuck. Enter your UPI PIN to complete the refund.,scam
Your insurance refund is ready. Pay a small processing fee to receive it.,scam
Your electricity bill for this month is Rs 850.,legitimate
The practical examination will begin at 10 AM.,legitimate
Your account security requires immediate verification through the attached link.,scam
Congratulations! Your job is guaranteed after payment of the registration fee.,scam
Your transaction could not be verified. Send your banking password to confirm the payment.,scam
"Your bank account shows an unauthorized transaction of Rs 18,500. Call this number immediately to cancel it.",scam
Thank you for registering for the workshop.,legitimate
Your bank account has been selected for a special reward. Pay ₹499 to receive it.,scam
Your bank account has unusual activity. Provide your OTP to prevent account suspension.,scam
Your account has been selected for a cashback offer. Pay Rs 10 to activate the reward.,scam
You have cleared the final interview round.,legitimate
We are pleased to inform you that you have been selected.,legitimate
Your shopping refund failed. Click this link and enter your banking information.,scam
Your internet plan has been renewed successfully.,legitimate
Happy birthday! Have a wonderful day.,legitimate
Your job application has been accepted.,legitimate
You have been selected for a government cash benefit. Pay the verification fee immediately.,scam
You have won a lottery prize. Pay the processing fee to claim your money.,scam
Your UPI payment of Rs 450 was successful.,legitimate
Your bank account has received an unexpected payment. Send the money back to this number immediately.,scam
Your KYC verification failed. Send your Aadhaar number and OTP immediately.,scam
Your bus ticket has been booked successfully.,legitimate
You got selected for a company. Pay ₹1500 for document verification.,scam
"Your account has been charged Rs 25,000. Click the link to dispute the transaction.",scam
Your job application has been shortlisted by the company.,legitimate
Your job application has been received by the company.,legitimate
Your refund requires a verification payment of Rs 100. Pay now to receive the full amount.,scam
Congratulations! You are eligible for a free gift. Pay delivery charges now.,scam
Let's meet near the library after class.,legitimate
Your parcel could not be delivered. Pay Rs 50 through this link to reschedule delivery.,scam
Your refund is pending. Provide your bank account details and OTP to receive it.,scam
"You have been shortlisted for a job with a salary of Rs 80,000. Pay the security deposit to continue.",scam
Your cashback has been approved. Share your OTP to receive the money.,scam
Your account has been credited with excess money. Transfer the amount back using this link.,scam
Your bank account will be blocked today. Complete KYC immediately.,scam
Your payment of ₹1500 to ABC Store was successful.,legitimate
Your bank has detected fraud. Install this security application immediately.,scam
Your online transaction has been flagged. Click the link to confirm your identity.,scam
Congratulations on completing your interview successfully.,legitimate
Can you send me the notes from today's class?,legitimate
Your bank account is eligible for a special loan. Pay the approval fee immediately.,scam
Your bank branch appointment has been scheduled.,legitimate
Your bus ticket has been booked successfully.,legitimate
Your offer letter is available in the company portal.,legitimate
Please check the timetable shared by the department.,legitimate
Your mobile recharge refund is pending. Provide your OTP to receive it.,scam
Your debit card has been temporarily blocked. Confirm your PIN through this link.,scam
You have been selected for the campus placement interview.,legitimate
Your internet plan has been renewed.,legitimate
HR has confirmed your selection for the position.,legitimate
Your interview is successful. Pay the security deposit to confirm your job.,scam
Your electricity bill is available in your account.,legitimate
You have successfully cleared the first round of the interview.,legitimate
The department has scheduled a seminar for Friday.,legitimate
Your examination results are available on the official website.,legitimate
Your electricity bill of ₹850 is due on September 5.,legitimate
Your college timetable has been updated.,legitimate
Your SIM card will be deactivated today unless you complete verification.,scam
Your interview has been scheduled for Monday at 10 AM.,legitimate
Your refund is waiting. Pay a small verification fee to receive it.,scam
Your account has received a suspicious transfer. Confirm your password to investigate the transaction.,scam
Congratulations! You have been chosen for a government cash benefit. Pay the verification fee.,scam
The company has selected you for the technical interview.,legitimate
Your credit card has been selected for a special reward. Provide your CVV to activate it.,scam
Your account has been credited with extra money. Transfer it back to this account immediately.,scam
Your credit card payment has been received.,legitimate
Your debit card transaction is pending. Share your PIN to cancel the payment.,scam
Your Amazon order has been shipped.,legitimate
Your credit card payment is overdue. Enter your card details through this link to avoid a penalty.,scam
Your UPI account has an unauthorized transaction.,scam
Your appointment is confirmed for tomorrow morning.,legitimate
Your transaction of ₹750 was completed successfully.,legitimate
